name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
chicken breast,Only available for premium subscribers.,100.0,3.5,1.0,Only available for premium subscribers.,72,226,85,0.0,0.0,0.0
brown rice,Only available for premium subscribers.,100.0,0.8,0.2,Only available for premium subscribers.,0,77,0,23.1,1.8,0.0
broccoli,Only available for premium subscribers.,100.0,0.4,0.1,Only available for premium subscribers.,41,65,0,7.3,3.3,1.4
salmon,Only available for premium subscribers.,100.0,12.1,2.4,Only available for premium subscribers.,61,253,63,0.0,0.0,0.0
banana,Only available for premium subscribers.,100.0,0.3,0.1,Only available for premium subscribers.,1,22,0,23.2,2.6,12.3
oatmeal,Only available for premium subscribers.,100.0,1.5,0.3,Only available for premium subscribers.,4,78,0,11.8,1.7,0.3
eggs,Only available for premium subscribers.,100.0,9.4,3.1,Only available for premium subscribers.,143,200,373,0.7,0.0,0.4
almonds,Only available for premium subscribers.,100.0,52.7,3.9,Only available for premium subscribers.,490,466,0,21.3,11.1,4.6
greek yogurt,Only available for premium subscribers.,100.0,0.4,0.1,Only available for premium subscribers.,36,133,5,3.6,0.0,3.2
sweet potato,Only available for premium subscribers.,100.0,0.1,0.0,Only available for premium subscribers.,26,32,0,17.5,2.5,5.8
spinach,Only available for premium subscribers.,100.0,0.3,0.0,Only available for premium subscribers.,69,55,0,3.8,2.4,0.4
avocado,Only available for premium subscribers.,100.0,15.6,2.1,Only available for premium subscribers.,7,55,0,8.6,6.7,0.3
quinoa,Only available for premium subscribers.,100.0,1.9,0.2,Only available for premium subscribers.,6,152,0,21.0,2.8,0.9
tuna,Only available for premium subscribers.,100.0,0.6,0.2,Only available for premium subscribers.,54,331,46,0.0,0.0,0.0
